4 processes
Jacobi relaxation Calculation: 256 rows x 256 columns mesh, maximum of 1000 iterations
Jacobi relaxation Calculation: 256 rows x 256 columns mesh, maximum of 1000 iterations
Jacobi relaxation Calculation: 256 rows x 256 columns mesh, maximum of 1000 iterations
Jacobi relaxation Calculation: 256 rows x 256 columns mesh, maximum of 1000 iterations
  100, 0.049114
  100, 0.049114
  100, 0.049114
  100, 0.049114
  200, 0.034658
  200, 0.034658
  200, 0.034658
  200, 0.034658
  300, 0.028236
  300, 0.028236
  300, 0.028236
  300, 0.028236
  400, 0.024410
  400, 0.024410
  400, 0.024410
  400, 0.024410
  500, 0.021792
  500, 0.021792
  500, 0.021792
  500, 0.021792
  600, 0.019853
  600, 0.019853
  600, 0.019853
  600, 0.019853
  700, 0.018346
  700, 0.018346
  700, 0.018346
  700, 0.018346
  800, 0.017131
  800, 0.017131
  800, 0.017131
  800, 0.017131
  900, 0.016119
  900, 0.016119
  900, 0.016119
  900, 0.016119
 1000, 0.015262
 1000, 0.015262
 1000, 0.015262
 1000, 0.015262
