Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
Jacobi relaxation Calculation: 4096 rows x 4096 columns mesh, maximum of 100 iterations
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   10, 0.155006
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   20, 0.110024
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   30, 0.089901
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   40, 0.077374
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   50, 0.069623
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   60, 0.063285
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   70, 0.058825
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   80, 0.054946
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
   90, 0.051831
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
  100, 0.049208
